metric,category,service,company,value,rank
Total,Video/Photo,YouTube,Google,68.0,1
Governance,Video/Photo,YouTube,Google,73.0,3
Freedom of Expression,Video/Photo,YouTube,Google,61.0,1
Privacy,Video/Photo,YouTube,Google,69.0,1
Total,Video/Photo,Flickr,Yahoo,57.0,2
Governance,Video/Photo,Flickr,Yahoo,87.0,1
Freedom of Expression,Video/Photo,Flickr,Yahoo,35.0,4
Privacy,Video/Photo,Flickr,Yahoo,58.0,2
Total,Video/Photo,Periscope,Twitter,39.0,5
Governance,Video/Photo,Periscope,Twitter,30.0,4
Freedom of Expression,Video/Photo,Periscope,Twitter,33.0,5
Privacy,Video/Photo,Periscope,Twitter,46.0,3
Total,Video/Photo,Vine,Twitter,41.0,4
Governance,Video/Photo,Vine,Twitter,30.0,4
Freedom of Expression,Video/Photo,Vine,Twitter,43.0,3
Privacy,Video/Photo,Vine,Twitter,43.0,4
Total,Video/Photo,Instagram,Facebook,47.0,3
Governance,Video/Photo,Instagram,Facebook,83.0,2
Freedom of Expression,Video/Photo,Instagram,Facebook,46.0,2
Privacy,Video/Photo,Instagram,Facebook,36.0,5
Total,Mobile Ecosystems,Google Android,Google,56.0,1
Governance,Mobile Ecosystems,Google Android,Google,70.0,1
Freedom of Expression,Mobile Ecosystems,Google Android,Google,49.0,1
Privacy,Mobile Ecosystems,Google Android,Google,55.0,1
Total,Mobile Ecosystems,iOS,Apple,33.0,2
Governance,Mobile Ecosystems,iOS,Apple,17.0,3
Freedom of Expression,Mobile Ecosystems,iOS,Apple,18.0,3
Privacy,Mobile Ecosystems,iOS,Apple,47.0,2
Total,Mobile Ecosystems,Samsung Android,Samsung,26.0,3
Governance,Mobile Ecosystems,Samsung Android,Samsung,22.0,2
Freedom of Expression,Mobile Ecosystems,Samsung Android,Samsung,20.0,2
Privacy,Mobile Ecosystems,Samsung Android,Samsung,30.0,3
Total,Fixed Broadband,AT&T,AT&T,46.0,2
Governance,Fixed Broadband,AT&T,AT&T,67.0,3
Freedom of Expression,Fixed Broadband,AT&T,AT&T,34.0,2
Privacy,Fixed Broadband,AT&T,AT&T,45.0,1
Total,Fixed Broadband,Vodafone UK,Vodafone,47.0,1
Governance,Fixed Broadband,Vodafone UK,Vodafone,81.0,1
Freedom of Expression,Fixed Broadband,Vodafone UK,Vodafone,41.0,1
Privacy,Fixed Broadband,Vodafone UK,Vodafone,37.0,2
Total,Fixed Broadband,Movistar,Telefónica,34.0,3
Governance,Fixed Broadband,Movistar,Telefónica,58.0,4
Freedom of Expression,Fixed Broadband,Movistar,Telefónica,27.0,3
Privacy,Fixed Broadband,Movistar,Telefónica,29.0,3
Total,Fixed Broadband,Orange France,Orange,33.0,4
Governance,Fixed Broadband,Orange France,Orange,74.0,2
Freedom of Expression,Fixed Broadband,Orange France,Orange,19.0,4
Privacy,Fixed Broadband,Orange France,Orange,26.0,4
Total,Fixed Broadband,Airtel India,Bharti Airtel,15.0,5
Governance,Fixed Broadband,Airtel India,Bharti Airtel,14.0,5
Freedom of Expression,Fixed Broadband,Airtel India,Bharti Airtel,12.0,7
Privacy,Fixed Broadband,Airtel India,Bharti Airtel,17.0,5
Total,Fixed Broadband,Etisalat UAE,Etisalat,8.0,6
Governance,Fixed Broadband,Etisalat UAE,Etisalat,8.0,6
Freedom of Expression,Fixed Broadband,Etisalat UAE,Etisalat,16.0,5
Privacy,Fixed Broadband,Etisalat UAE,Etisalat,2.0,6
